"Dist Code","Year","State Code","State Name","Dist Name","DIESEL PUMPSETS NUMBER (1000 Number)","DIESEL PUMPSETS DENSITY (Per 1000 ha)","ELECTRIC PUMPSETS NUMBER (1000 Number)","ELECTRIC PUMPSETS DENSITY (Per 1000 ha)","POWER TILLER NUMBER (1000 Number)","POWER TILLER DENSITY (Per 1000 ha)","TRACTORS NUMBER (1000 Number)","TRACTORS DENSITY (Per 1000 ha)"
"114","1987","7","Maharashtra","Akola","2.88","32.86","14.22","162.24","0.53","6.05","0.84","9.58"
"114","1992","7","Maharashtra","Akola","1.43","17.27","18.15","219.23","0.02","0.24","1.21","14.62"
"114","1997","7","Maharashtra","Akola","1.42","17.08","17.39","209.19","0.01","0.12","2.05","24.66"
"114","2003","7","Maharashtra","Akola","3.57","43.79","21.93","268.98","0.09","1.1","3.77","46.24"
"115","1966","7","Maharashtra","Amarawati","1.16","16.31","4.52","63.6","-1.0","-1.0","0.17","2.32"
"115","1972","7","Maharashtra","Amarawati","1.47","21.14","8.9","128.02","0.05","0.72","0.24","3.45"
"115","1978","7","Maharashtra","Amarawati","2.05","28.39","21.28","294.4","-1.0","-1.0","0.32","4.47"
"115","1982","7","Maharashtra","Amarawati","1.63","22.7","27.64","384.96","0.01","0.14","0.63","8.77"
"115","1987","7","Maharashtra","Amarawati","1.07","14.21","28.69","380.91","0.49","6.51","0.74","9.82"
"115","1992","7","Maharashtra","Amarawati","0.82","11.17","31.37","427.21","0.02","0.27","1.03","14.03"
"115","1997","7","Maharashtra","Amarawati","0.96","12.83","30.36","405.61","0.14","1.87","2.26","30.19"
"115","2003","7","Maharashtra","Amarawati","1.56","20.81","27.11","361.71","0.1","1.33","3.0","40.03"
"116","1966","7","Maharashtra","Yeotmal","0.94","12.08","1.47","18.92","-1.0","-1.0","0.08","0.98"
"116","1972","7","Maharashtra","Yeotmal","1.41","17.21","3.41","41.62","0.0","0.0","0.05","0.61"
"116","1978","7","Maharashtra","Yeotmal","2.88","33.72","9.93","116.24","-1.0","-1.0","0.12","1.43"
"116","1982","7","Maharashtra","Yeotmal","2.3","27.56","11.5","137.82","0.0","0.0","0.19","2.28"
"116","1987","7","Maharashtra","Yeotmal","3.6","42.49","14.7","173.49","0.13","1.53","0.2","2.36"
"116","1992","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"116","1997","7","Maharashtra","Yeotmal","3.33","40.11","18.74","225.7","0.11","1.32","0.87","10.48"
"116","2003","7","Maharashtra","Yeotmal","4.01","47.21","23.82","280.43","0.03","0.35","1.74","20.49"
"117","1966","7","Maharashtra","Wardha","0.67","15.85","1.87","44.04","-1.0","-1.0","0.02","0.54"
"117","1972","7","Maharashtra","Wardha","1.04","24.23","4.77","111.11","0.0","0.0","0.05","1.16"
"117","1978","7","Maharashtra","Wardha","2.51","56.76","10.01","226.38","-1.0","-1.0","0.07","1.58"
"117","1982","7","Maharashtra","Wardha","1.44","34.34","10.48","249.94","0.0","0.0","0.06","1.43"
"117","1987","7","Maharashtra","Wardha","1.82","47.05","14.9","385.21","0.07","1.81","0.13","3.36"
"117","1992","7","Maharashtra","Wardha","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"117","1997","7","Maharashtra","Wardha","4.84","126.11","36.56","952.58","0.13","3.39","1.32","34.39"
"117","2003","7","Maharashtra","Wardha","0.17","4.64","3.58","97.79","0.03","0.82","0.15","4.1"
"118","1966","7","Maharashtra","Nagpur","1.04","19.14","2.5","46.06","-1.0","-1.0","0.1","1.79"
"118","1972","7","Maharashtra","Nagpur","1.83","33.69","7.52","138.44","0.0","0.0","0.04","0.74"
"118","1978","7","Maharashtra","Nagpur","2.49","44.0","15.06","266.38","-1.0","-1.0","0.07","1.31"
"118","1982","7","Maharashtra","Nagpur","2.54","49.53","18.05","351.99","0.0","0.0","0.08","1.56"
"118","1987","7","Maharashtra","Nagpur","2.55","50.76","24.8","493.63","0.19","3.78","0.34","6.77"
"118","1992","7","Maharashtra","Nagpur","2.99","54.0","38.76","700.02","0.19","3.43","0.79","14.27"
"118","1997","7","Maharashtra","Nagpur","3.16","58.54","12.75","236.2","0.14","2.59","0.55","10.19"
"118","2003","7","Maharashtra","Nagpur","5.08","92.89","31.1","568.66","0.23","4.21","1.44","26.33"
"119","1966","7","Maharashtra","Bhandara","0.46","11.81","0.06","1.47","-1.0","-1.0","0.12","3.18"
"119","1972","7","Maharashtra","Bhandara","1.19","30.72","1.22","31.49","0.01","0.26","0.13","3.36"
"119","1978","7","Maharashtra","Bhandara","1.83","47.18","2.93","75.48","-1.0","-1.0","0.19","4.92"
"119","1982","7","Maharashtra","Bhandara","2.43","64.01","4.63","121.97","0.06","1.58","0.38","10.01"
"119","1987","7","Maharashtra","Bhandara","2.2","81.69","6.65","246.94","0.33","12.25","0.78","28.96"
"119","1992","7","Maharashtra","Bhandara","4.45","123.37","7.79","215.97","0.14","3.88","1.3","36.04"
"119","1997","7","Maharashtra","Bhandara","5.08","178.37","8.91","312.85","0.12","4.21","2.21","77.6"
"119","2003","7","Maharashtra","Bhandara","5.44","148.72","13.51","369.33","0.07","1.91","2.55","69.71"
"120","1966","7","Maharashtra","Chandrapur","0.69","10.68","0.16","2.4","-1.0","-1.0","0.05","0.83"
"120","1972","7","Maharashtra","Chandrapur","0.98","14.81","0.38","5.74","0.15","2.27","0.06","0.91"
"120","1978","7","Maharashtra","Chandrapur","2.11","30.52","2.07","30.02","-1.0","-1.0","0.2","2.88"
"120","1982","7","Maharashtra","Chandrapur","2.63","39.03","2.55","37.85","0.03","0.45","0.24","3.56"
"120","1987","7","Maharashtra","Chandrapur","3.33","50.83","2.4","36.64","0.19","2.9","0.44","6.72"
"120","1992","7","Maharashtra","Chandrapur","6.11","91.4","5.49","82.12","0.05","0.75","0.75","11.22"
"120","1997","7","Maharashtra","Chandrapur","8.86","148.33","6.09","101.96","0.08","1.34","1.55","25.95"
"120","2003","7","Maharashtra","Chandrapur","17.9","287.78","12.79","205.63","0.09","1.45","1.65","26.53"
