state_number,crop_name,RMS_RandomForest,RandomForest,RMS_LinearRegression,LinearRegression
107,FINGER_MILLET_YIELD,153.6572258,1546.8743,169.1012762,1542.941068
107,BARLEY YIELD,0,0,0,0
107,CHICKPEA_YIELD,97.33101877,966.2059,89.23038911,947.2893484
107,PIGEONPEA_YIELD,254.1746169,446.1201,306.9155128,538.2988914
107,MINOR PULSES AREA (1000 ha),2.325910288,6.43,1.906900144,8.52346263
107,MINOR_PULSES_PRODUCTION,0.58529179,3.2538,0.863298071,1.82096419
107,MINOR_PULSES_YIELD,58.67841917,412.3136,153.2258299,246.4226808
107,GROUNDNUT_YIELD,347.4091225,1307.9038,406.8064835,1251.262261
107,SESAMUM_YIELD,185.3869223,44.2281746,114.6890945,165.8500213
107,RAPESEEDandMUSTARD_YIELD,115.4700538,0,115.4700538,0
107,SAFFLOWER_YIELD,0,0,0,0
107,CASTOR_YIELD,240.2731594,255.6659,278.3575789,261.1186791
107,LINSEED_YIELD,0,0,0,0
107,SUNFLOWER_YIELD,461.4965253,1215.6954,415.4244416,1133.05149
107,SOYABEAN_YIELD,258.8219293,2267.2818,301.775374,2188.268448
107,OILSEEDS_YIELD,1373.125777,1954.9856,1086.108527,1786.207408
107,SUGARCANE_YIELD,671.9106022,10060.3444,1274.82734,10838.52486
107,COTTON_YIELD,78.45980393,60,105.3386727,125.8220211
107,FRUITS_AREA,1.974324356,0.9376825,10.26886597,-15.05158287
107,VEGETABLES_AREA,0.850748711,0.827683333,1.2309436,1.44854933
107,FRUITSandVEGETABLES_AREA,2.849989913,1.68699,8.115430271,-8.61802701
107,POTATOES_AREA ,0.177006542,0.04295,0.198071158,0.23231659
107,ONION_AREA,0.050533685,0.0508,0.068808204,0.07185954
107,FODDER_AREA,0,0,0,0
108,RiceYD,780.1271458,931,823.8668048,1003.587086
108,WheatYD,537.799225,1639.0618,730.3703998,2026.696046
108,KharifSorghumYD,628.553333,1395.7272,1283.01198,2460.486665
108,RabiSorghumYD,325.4926717,775.6961,493.9617651,958.4458174
108,PEARL_MILLET_YIELD,439.7767091,1075.855,1049.094299,1886.239915
108,MAIZE_YIELD,908.4205249,2579.7356,1902.681807,4261.006874
108,FINGER_MILLET_YIELD,0,0,0,0
108,BARLEY YIELD,0,0,0,0
108,CHICKPEA_YIELD,395.9221949,734.2308,627.7742211,1231.341126
108,PIGEONPEA_YIELD,369.4214256,644.7225,505.3357476,938.7319939
108,MINOR PULSES AREA (1000 ha),17.04780457,47.4336,31.39359506,20.80426138
108,MINOR_PULSES_PRODUCTION,8.629757217,19.252,14.39870384,-9.88069595
108,MINOR_PULSES_YIELD,215.3530171,455.8134,377.8083968,592.2863015
108,GROUNDNUT_YIELD,332.1095188,955.9649,672.2034405,1536.930616
108,SESAMUM_YIELD,81.67690448,188.3374,218.1205255,260.2089554
108,RAPESEEDandMUSTARD_YIELD,142.0244406,0,143.0952334,3.8736508
108,SAFFLOWER_YIELD,1035.221437,1640.4136,627.3109045,126.1859231
108,CASTOR_YIELD,165.6446668,150.8446,149.7144459,148.2370235
108,LINSEED_YIELD,170.5733984,72.6875,244.2055797,-115.755999
108,SUNFLOWER_YIELD,405.7711668,488.1601,550.7623547,220.1569885
108,SOYABEAN_YIELD,458.8840102,1200.266,1453.953808,2439.879297
108,OILSEEDS_YIELD,896.7413368,1062.9681,1070.653451,1432.545539
108,SUGARCANE_YIELD,2297.211715,8118.7041,2337.013201,8197.733775
108,COTTON_YIELD,117.2354135,261.8367,131.9771688,308.0943885
108,FRUITS_AREA,14.47596574,4.271618333,22.62271738,35.51050655
108,VEGETABLES_AREA,3.273453551,0.848003333,2.474110522,2.07652929
108,FRUITSandVEGETABLES_AREA,18.59291467,5.1780625,24.20424445,37.08493496
108,POTATOES_AREA ,0.42328941,0.008400833,63.6303776,-110.1576749
108,ONION_AREA,5.385900336,4.962,5.79018905,5.61157029
108,FODDER_AREA,0,0,0,0
109,RiceYD,204.0162518,321.5958,160.3317763,277.2848626
109,WheatYD,569.5205089,1129.5812,776.3805663,1212.708872
109,KharifSorghumYD,735.2566859,1141.6636,1508.579507,1463.603018
109,RabiSorghumYD,293.5559481,664.4753,335.8042451,682.6225808
109,PEARL_MILLET_YIELD,437.9139694,637.6814,862.2404766,772.2713196
